Gene Symbol	Full Name of Mutant Gene Symbol	Date	Reference Lab
GAT	Circadian gating of light responses	M97	Millar
GBL	Goblin (root defective)	YB	Scheres
GCR	G-protein coupled receptor	< 6/02	Assmann
GDH	Glutamate dehydrogenase deficient	YB	Coruzzi, Melo-Oliveira
GDY	Good die young (early senescence)	5/99	Larsen
GEK	Geko (Sensitive to EtOH)	2/01	Hirayama (Riken)
GEM	Gemini (divided pollen)	6/96	Twell, Howden
GF	Female gametophytic factor	YB	Redei
GFF	Gametophytic factor - female	M95	Feldmann
GFM	Gametophytic factor - male	M95	Feldmann
GH	Gelbherzig (yellow center of plant)	YB	Redei
GHA	Ghari - Altered circadian period	11/98	Millar
GI	Gigantea, late flowering (replaces FB)	YB	Redei, Koornneef
GIA	Growth insensitive to ABA	11/99	Chua
GIL	Gravitropic in light	1/99	Whitelam
GIM	Growth insensitive to mannitol	1/00	Chua
GIN	Glucose insensitive	N96	Sheen
GK	Gurke (embryo defective)	YB	Jurgens
GL	Glabra (reduced trichomes)	YB	Koornneef, Marks
GLD	Glycine decarboxylase deficient	YB	Somerville, Ogren
GLF	Gandalf (root defective)	-/94	Scheres
GLM	Gollum (root defective)	YB	Scheres
GLO	Glabrous, chlorotic	2/96	Osborne
GLS	Glutamate synthase deficient	YB	Somerville, Ogren
GMB	Gumby (trichome defective)	5/98	Larkin
GN	Gnom (allelic to EMB30)	YB	Jurgens
GPB	Reserved symbol	YB	Ma
GPL	Gametophytic lethality	M95	Misera
GPS	GyPSi, GravitY Persistent Signal	6/99	Wyatt/Robertson
GR	Grisea (gray-green leaf color)	YB	Relichova
GRL	Gnarled (abnormal trichomes)	YB	Jurgens, Hulskamp
GRM	Gremlin (root defective)	YB	Scheres
GSL	Glucosinolate Defective	7/00	Mitchell-Olds
GSM	Glucosinolate metabolism defective	-/94	Haughn
GSS	Glucose super sensitive	2/98	Smeekens
GTA	Global transcription factor group A (Inhibition by silencing)	5/02	Jorgensen
GTB	Global transcription factor group B (Inhibition by silencing)	5/02	Jorgensen
GTC	Global transcription factor group C (Inhibition by silencing)	5/02	Jorgensen
GTE	Global transcription factor group E (Inhibition by silencing)	5/02	Jorgensen
GTF	Global transcription factor group F (Inhibition by silencing)	5/02	Jorgensen
GUM	Germ unit malformed	9/98	Twell
GUN	Genomes uncoupled	YB	Chory
GUP	Glutathione-S-transferase Upregulated	N96	Van der Zaal
GWP	Gift Wrapped Pollen (Altered staining)	11/99	McCormick
HAC	Histone acetyltransferase	5/02	Jorgensen
HAL	Hallimasch (embryo lethal)	10/98	Juergens, Mayer
HAN	Hanaba taranu (floral defective)	YB	Sakai, Meyerowitz
HAR	Hyponastic aerial rosette	11/97	Watson
HAS	Handshake (embryo, hypocotyl)	M95	Hofte, Caboche
HBA	High level beta amylase 1	M97	Nakamura
HBT	Hobbit (root defective)	YB	Scheres
HCF	High chlorophyll fluorescent	YB	Green, Dinkins
HCR	High CO2 requiring	YB	Artus, Somerville
HCS	High CO2 sensitive	YB	Artus, Somerville
HDA	Histone deacetylase (Inhibition by silencing)	5/02	Jorgensen
HDD	Hadad (female gametophytic lethal)	9/97	Grossniklaus
HDN	Hypersensitive response despite nitric oxide synthase inhibitor	10/01	Shapiro
HEF	Homolog of EIN5 (gene)	6/98	Ecker
HEN	HUA Enhancer (floral mutant)	 7/99	Western, Xuemei Chen
HER	Hypocotyl elongation repressed	N96	Nagatani
HEX	Hexose analog resistant	YB	Cobbett
HFO	Histone H4 (Inhibition by silencing)	5/02	Jorgensen
HFR	Long hypocotyl in far-red	5/98	Quail
HIC	High carbon dioxide	< 6/02	Hetherington
HIK	Hinkel (seedling lethal)	10/98	Juergens, Mayer
HIP	Hormone-independent proliferation	4/99	Schmuelling
HIT	Heat intolerant	3/02	Wu
HLH	Hookless1 homolog (gene)	12/99	Ecker
HLL	Huellenlos (ovule defective)	N96	Pruitt
HLQ	Harlequin (ectopic Dc3-GUS in root)	3/98	Rock
HLR	Halted root (Arrested root growth and root tip expansion)	5/01	Okada
HLS	Hookless (ethylene response)	YB	Ecker
HMA	Haumea, partial female sterile	9/98	Grossniklaus
HO	Heme oxygenase	< 6/02	Vierstra
HOF	Hoof (root defective)	YB	Benfey
HOG	Altered transgene silencing	2/98	Furner
HON	Histone H1 (Inhibition by silencing)	5/02	Jorgensen
HOS	High response to osmotic stress	6/96	Jian-Kang Zhu
HOT	Hosoba toge toge (narrow leaf) Deletion of FT-FAS1 region	4/96	Araki
HOU	Houdini (Shatter-proof siliques)	2/02	S. Swain
HPT	Hauptling (allelic to AMP1)	-/95	Jurgens
HRB	Herblock (Enhancer of seuss and leunig floral mutants)	10/01	Fischer
HRL	HR-like lesions	1/99	Raina
HRT	Heartless (embryo defective)	YB	Harada
HRY	Discontinued (now LEC)	YB	Harada
HSE	Heart shaped embryo	9/95	Goto
HSP	Hypersensitive signalling photoreceptor mutant	7/01	Halliday
HSR	High sugar response	2/02	Hemmann
HST	Hasty (altered trichome distribution)	YB	Telfer, Poethig
HTA	Histone H2A (See also RAT)	5/02	Jorgensen
HTB	Histone H2B (See also RAT)	5/02	Jorgensen
HTH	Hothead (organ fusion)	9/96	Pruitt, Lolle
HTR	Histone H3 (See also RAT)	5/02	Jorgensen
HUA	Enhancer of ag-4	9/97	Chen, Meyerowitz
HVE	Hemivenata (Abnormal leaf venation pattern)	1/99	Micol
HVT	Helicase vascular/tapetum (gene trap)	9/97	Lindsey
HXA	Histone acetyltransferase complex component (Inhibition by silencing)	5/02	Jorgensen
HXC	Hypersensitivity to Xanthomonas campestris pv campestris	8/95	Van Montagu, Roby
HY	Elongated hypocotyl in light	YB	Koornneef, Chory
HYA	Hyade (root defective)	2/95	Hauser
HYD	Hydra (defective seedling)	9/97	Lindsey
HYL	Hyponastic leaves	7/98	Fedoroff
HYP	Hypoxic stress response	6/98	Wasteneys
IAD	Increased apical dominance	12/96	Kakutani
IAE	Increased Ac-excision	YB	Dean
IAR	IAA-alanine resistant	3/95	Bartel, Fink
IBC	Induced by cytokinin (gene)	7/97	Kieber
IBR	Indole-3-butyric acid response	8/99	Bartel
ICE	Insect chewing induced (herbivory induced)	11/98	Mitchell-Olds
ICR	IAA conjugate resistant	2/94	Town
ICU	Incurvata (rolled leaf margins)	1/96	Micol
ICX	Increased chalcone synthase express.	N96	Jenkins
IDA	Inflorescence deficient in abscission	7/01	Aelen
IFE	Increased FAD3 expression	2/97	Browse
IFL	Interfascicular fiberless	8/98	Ye
IHR	Irregular hypersensitive response	3/99	Bent
ILR	IAA-leucine resistant	3/95	Bartel, Fink
IM	Immutans (variegated)	YB	Redei, Koornneef
IMP	Impotent, male sterile	9/98	Liu
IND	Indehiscent (Altered fruit dehiscence)	6/02	Yanofsky
INO	Inner, no outer (ovule defective)	YB	Gasser
INV	Involute leaf	YB	Comai
IPS	Induced under phosphate starvation stress	2/00	Paz-Ares
IRA	Increased response to avrRpm1	5/99	Dangl
IRE	Increased organ regeneration	2/00	Howell
IRK	Inflorescence and root apices receptor-like kinase	< 6/02	Konchi
IRN	Yellow-green	3/95	Groom
IRS	Icarus (red pigment in floral organs and stems)	2/00	Weigel
IRT	Iron transport	6/02	Curie
IRX	Irregular xylem	M95	Turner, Somerville
ISE	Increased size exclusion limit	8/98	Zambryski
ISI	Impaired Sucrose Induction	5/99	Rook and Bevan
IV	Involuta (leaf shape, early flowering)	YB	Relichova
IVF	Involutifolia; Activation tagged curly leaf	12/98	Yabe
IVR	Invasive root	YB	Sung
IXR	Isoxaben resistant	YB	Heim, Larrinua
JAR	Jasmonate resistant	7/98	Staswick
JAW	Serrated leaves	10/99	Weigel
JBA	Jabba (leaf polarity; meristem size)	5/98	Weigel
JIN	Jasmonate insensitive	M97	Berger, Mullet
JRX	Jumbo rocks (tracheary defective)	M97	Sieburth
JSN	Jason (Embryogenesis)	3/02	Fischer
JUM	Jumis, partial female sterile	9/98	Grossniklaus
KAK	Kaktus (abnormal trichomes)	YB	Jurgens, Hulskamp
KAN	Kanadi (Altered abaxial identity)	< 6/02	Poethig
KCO	Potassium channel outward rectifying	7/02	Czempinski; Schonknecht
KCS	3-ketoacyl-CoA synthase 1 defective	6/98	Post-Beittenmiller
KE	Altered starch in leaves	M95	Chen
KEM	Khem, partial female sterile	9/98	Grossniklaus
KEU	Keule (embryo defective)	YB	Jurgens
KIM	Kimagure (root hair defective)	-	Okada
KIP	Kinky pollen (distorted tube shape)	8/01	Bonhomme
KIS	Kiesel (embryo lethal)	10/98	Juergens, Mayer
KIT	Kinesin of thaliana (Male sterile)	2/02	H. Ma
KJK	Kojak (root hair defective)	< 6/02	Dolan
KLK	Klunker (embryo defective)	YB	Jurgens
KN	Knolle (embryo defective)	YB	Jurgens
KNB	Knobhead (leaf mutant)	YB	Feldmann
KNF	Knopf (embryo defective)	YB	Jurgens
KNK	Kinky (leaf mutant)	YB	Feldmann
KNO	Knotted root	YB	Sung
KOM	Kompeito	< 6/02	Okada
KOR	Korrigan (short deformed hypocotyl)	M97	Nicol, Hofte
KYP	Kryptonite (Suppressor of hypermethylated Clark Kent alleles)	5/01	Jacobsen
LAB	Late bloomer	5/98	Weigel
LAD	Late anther dehiscence	9/95	Aerts
LAF	Long after far-red light	6/98	Chua
LAG	Late germinating	M97	Campanella
LAL	Laelli (ovule defective)	N96	Pruitt
LAN	Lanceolate (narrow leaves)	YB	Koornneef
LAO	Locus of AvrRpm1 Operation	5/99	Dangl
LAP	Less adherent pollen	11/97	Preuss
LAR	Loss of avRpm1	2/99	Dangl
LAS	Lateral suppressor (Axillary shoot formation suppressed)	2/02	K. Theres
LAT	Laterne (cotyledons missing)	-/95	Jurgens
LBA	Low level beta amylase	8/97	Nakamura
LBD	LOB (Lateral Organ Boundaries) Domain (Gene family)	6/01	Springer
LC	Lucida (light green)	YB	Relichova
LCA	Loss of C activity (enhancer of ag phenotype)	5/00	Weigel
LCR	Lacerata (organ fusion)	7/99	Wellesen, Yephremov
LCT	Low CAB 140 transcript	YB	Brusslan, Tobin
LD	Luminidependans (late flowering)	YB	Redei
LE	Lepida (dwarf, see PA)	YB	McKelvie, Koornneef
LEC	Leafy cotyledon	YB	Meinke
LEM	Leaf morphogenesis disrupted	3/98	Lam
LEN	Lesion initiation	5/02	Ishikawa
LEP	Leafy petiole	8/99	Hooykaas
LES	Disease lesion mimic	YB	Ryals
LET	Lettuce (large leaves)	3/97	van der Graaff
LEX	Lex Luther (Suppressor of Hypermethylated Clark Kent Alleles)	12/01	Jacobsen
LFY	Leafy (floral defective)	YB	Meyerowitz, Haughn
LGL	Leunig-like (floral defective)	1/00	Zhongchi Liu
LHP	Like heterochromatin protein	< 6/02	Grandjean
LHW	Lonesome highway (Single file of protoxylem cells in root)	7/02	Somerville
LHY	Late flowering	M95	Coupland
LIN	Lateral Root Initiation (Under repressive nutrient conditions)	4/01	Malamy
LIT	Lions tail (root defective)	YB	Benfey
LOB	Lateral organ boundaries (Expression pattern; not a mutant)	5/01	Springer
LOC	Yellow green	3/95	Groom
LOL	LSD One Like (Orthologues of LSD1)	6/01	Dangl
LOS	Low response to osmotic stress	9/96	Jian-Kang Zhu
LPH	Loophole (Cytokinesis defective)	1/99	Somerville, C
LRA	Lost recognition of avrRpm1	2/00	Dangl
LRD	Lesions resembling disease	5/98	Kunkel
LRI	Lateral root indicator (gene trap)	9/97	Lindsey
LRX	Root hair defective	1/01	Baumberger
LS	Light sensitive (chlorotic in high light)	YB	Hirschberg
LSD	Lesions simulating disease resistance	-/94	Dietrich, Dangl,Delaney, Ryals
LSH	Light-dependent short hypocotyl	6/02	Matsui
LSN	Larson (enhancer of leunig)	2/00	Z Liu
LSP	Loss of Susceptibility to Potyviruses	9/01	Carrington
LSR	Light Stress Response (Altered nonphotochemical quenching)	1/01	R. Peterson
LTD	Light to defense crosstalk	7/99	Genoud, Metraux
LU	Lutescens (yellow-green)	YB	Lee-Chen, Koornneef
LUG	Leunig (floral defective)	3/95	Liu, Meyerowitz
LUT	Lutein deficient	M95	Della Penna
LY	Lycopodioformia (forked inflorescence)	YB	Relichova
MAA	Magatama (female gametophyte lethal)	5/98	Okada
MAD	Male gametophytic defective	10/98	Huelskamp
MAL	Marbled leaves	4/98	Tsukaya
MAM	Maman (maternal embryo effect)	4/98	Bellini
MAN	* Formerly Mangled (see VCL)	M97	Somerville
MAP	Modifier of arf7 mutant phenotypes (ARF7 = NPH4 gene product)	3/01	Liscum
MAR	Many secondary roots	4/98	Migliaccio
MAT	Defective seed coat and root	YB	Valvekens
MAX	More axillary branches	6/98	Leyser
MBD	Methyl binding domain protein (Inhibition by silencing)	5/02	Jorgensen
MCD	Meiotic chromosome disruption	3/97	Vizir
MEA	Medea (female gametophytic emb def.)	4/96	Grossniklaus
MED	Medusa	YB	Mitchell-Olds
MER	Modifier of er	5/98	Walker
MGD	Monogalactosyl diacylglycerol	< 6/02	Chory
MGL	Male gametophytic lethal	4/98	McCormick
MIC	Mickey (embryo defective)	YB	Jurgens
MIG	Mannose Insensitive Germination	8/96	Smeekens
MIL	Mildew-induced lesions	11/99	S. Somerville
MIM	Methyl methanesulphonate Irradiation Mytomycin c	1/99	Paszkowski
MIN	Miniature (semi dwarf)	YB	Koornneef
MKP	Master Key of Panic (hypersensitive to genotoxic stress)	7/00	Paszkowski
MLH	Knockout of AtMLH1	M97	Jean, Belzile
MMD	Microspore mother cell death	1/02	Makaroff
MMP	Matrix metalloproteinase	< 6/02	Dietz
MMT	Motley mitochondrial mutant (Altered mitochondrial development)	10/01	Logan
MNP	Monopole (embryo defective)	2/98	Lukowitz
MOB	Modifier of B function	7/98	Ohno, Meyerowitz
MOD	* Modifier of DWF1 (Dilkes, Feldmann) AND Modifier of SIN1(Lang)	8/94	Dilkes, Feldmann / Lang
MOG	Mollig (ovule defective)	N96	Pruitt
MOM	Maintenance of methylation	4/99	Paszkowski
MON	Mongoose (suppressor of cobra)	7/00	Benfey
MOR	Microtubule organization defective	3/98	Wasteneys
MP	Monopteros (embryo defective)	YB	Jurgens
MPK	MAP kinase	< 6/02	Mundy
MRL	Marmel - Cell division defective	2/99	Somerville, C.
MRM	Murmel (Cell division defective)	1/99	Somerville, C
MRP	Multidrug resistance-associated protein	< 6/02	Martinoia
MS	Male sterile	YB	Many labs
MSD	Megasporogenesis defective	M95	Schneitz
MSG	Hypocotyl curvature defective	10/00	Yamamoto
MSH	Many shoots	N96	Kakimoto
MTM	Multimera, multiple vegetative meristems	9/98	Yephremov
MTO	Methionine over accumulation	3/94	Naito
MTP	Multipetala	M95	Running, Meyerowitz
MTR	Methyl tryptophan resistant (see AMT)	YB	Koornneef
MUD	Male germ unit displaced	9/98	Twell
MUM	Mucilage modified seed mutant	1/96	Western, Haughn
MUN	Multinucleate (root cytokinesis defect)	M97	Hauser
MUR	Cell wall mutant	YB	Reiter/Chapple
MUS	Mustaches (stomatal differentiation)	4/98	Sack
MVD	Marginal Vein Deleted	6/99	Leslie Sieburth
MW	Mowe (embryo, hypocotyl)	M95	Berleth
MYB	Knockout of MYB gene	M97	Kranz, Paz-Ares
NA	Nana (GA insensitive superdwarf)	-	Yanushkevich
NAN	Nantosuetta, partial female sterile	9/98	Grossniklaus
NAR	Gnarly (leaf mutant)	YB	Feldmann
NCB	No cajal body	< 6/02	Shaw
NDR	Non race-specific disease resistance	-/94	Staskawicz
NEL	Neuroleptic (suppressor of SHZ)	6/98	Medford
NEV	Nevershed	9/00	Liljegren, Ecker
NFA	Nucleosome/chromatin assembly factor group A (Inhibition by silencing)	5/02	Jorgensen
NFB	Nucleosome/chromatin assembly factor group B (Inhibition by silencing)	5/02	Jorgensen
NFC	Nucleosome/chromatin assembly factor group C (Inhibition by silencing)	5/02	Jorgensen
NFD	Nucleosome/chromatin assembly factor group D (Inhibition by silencing)	5/02	Jorgensen
NFE	Nucleosome/chromatin assembly factor group E (Inhibition by silencing)	5/02	Jorgensen
NFZ	Norflurazon tolerant	4/98	Ezhova
NHR	Non-hydrotropic response	11/01	Cassab
NIA	Nitrate reductase defective	YB	Crawford, Cheng
NII	Nitrite reductatse defective	YB	Crawford
NIM	Non-inducible immunity	YB	Delaney, Ryals
NIT	Resistant to Indole-3-acetonitrile	4/96	Bartel
NJA	Nanaja, partial female sterile	9/98	Grossniklaus
NOC	No cotyledons	6/98	Martin
NOH	Non hydrotropic (root defective)	10/00	Cassab
NOK	Noeck (trichome defective)	6/97	Hulskamp
NOT	Non troppo - Altered circadian period	11/98	Millar
NPCT	NA+ dependent phosphate co-transporter	< 6/02	Hasegawa
NPG	No pollen germination	1/02	Reddy
NPH	Non-phototroping hypocotyl	2/94	Liscum, Briggs
NPQ	Defective in nonphotochemical quenching of chlorophyll fluorescence	8/96	Niyogi, Grossman, Bjorkman
NPR	Non-expression of PR genes	4/94	Bowling/Dong
NRF	Negative regulator of FT action	8/99	Weigel
NRG	Nitrate regulatory defect	YB	Crawford
NRT	Nitrate transport defective	YB	Crawford
NSM	Insomniac (seed dormancy deficient)	1/00	Galau
NTL	Nitrate transporter like	6/02	Tsay
NUC	Nuclear Cage (accumulation of ER around nucleus)	7/00	Wasteneys
NZZ	Nozzle (ovule defective)	N96	Pruitt
OBI	Overexpressor of basic PR isoform	2/00	Vera
OCP	Overexpressor of cationic peroxidase	< 6/02	Vera
OCT	Octante (Embryo Lethal)	8/01	Fischer
OLD	Onset of Leaf Death (Altered Leaf Senescence)	2/01	Jing, Dijkwel
OLT	Old timer	YB	Medford
OMO	Odd man out; male meiosis defective	10/98	McCormick
OMR	L-O-methylthreonine resistant	YB	Mourad, King
OND	Ondulata (ondulated leaf lamina)	1/99	Micol
OOP	Out of phase; altered circadian phase	2/99	McClung
OPE	Over-producer of ethylene	1/00	Larsen
OPN	Open house (Cytokinesis defective)	1/99	Somerville, C
OPR	Oxophytodienoate reductase	< 6/02	Browse
OPT	Oligopeptide transporter	6/02	Stacey
ORB	Orbiculata (small, rounded, yellowish, leaves)	1/99	Micol
ORC	Orc (root defective)	YB	Scheres
ORE	Oresara (delayed senescence)	5/98	Vizir
ORN	Ornata (stem morphology)	YB	vandeLoo, Somerville
OSM	Osmotic sensitive mutant	< 6/02	Bressan
OST	Ostiole and Open Stomata	4/00	Giraudat
OVM	Female sterile, ovule mutant	YB	Fischer
PA	Discontinued (now LE)	YB	Kranz, Scheidemann
PAA	P-Type ATPase in Arabidopsis (copper deficiency in chloroplasts)	4/02	Shikanai
PAB	Phytochrome-actin binding protein	3/00	Chory
PAC	Pale cress (chloroplast defective)	YB	Scolnik
PAD	Phytoalexin deficient	YB	Glazebrook, Ausubel
PAN	Extra perianth organs	YB	Running, Meyerowitz
PAP	Production of Anthocyanin Pigment	8/98	Lamb
PAS	Pasticcino (uncontrolled cell division)	4/98	Bellini
PAT	Phytochrome A transduction	7/98	Chua
PAU	Parthenocarpic	4/02	A. Martinez-Laborda, A. Vera
PAX	Partial suppressor of AXR3	6/98	Leyser
PBS	avrPphB susceptible (P. syringae)	4/97	Innes
PCB	Poly cajal body	< 6/02	Shaw
PCM	Pale leaves in culture	YB	Dean
PCO	Phosphoglycolate phosphatase deficient	YB	Somerville, Ogren
PCS	Precocious (Altered phase change)	4/01	Poethig
PDE	Pigment-Defective Embryo	12/01	Meinke
PDF	Protodermal factor	7/02	Takahashi
PDP	Polka dot pollen	8/99	McCormick
PDR	Phosphate Deficiency Response	9/01	Abel
PDS	Phytoene desaturation (ABA deficient)	YB	Della Penna
PED	Peroxisome defective	5/00	Nishimura
PEN		6/02	Schulze-Lefert
PEP	Pepper (Late flowering; Reduced fertility; Abnormal silique)	4/02	A. Martinez-Laborda, A. Vera
PER	Perfect (Phosphate Deficient Root Hair Defective)	4/02	W. Schmidt
PET	Petit; Cell elongation defective	10/98	Yamamoto
PEX	Peroxin (Resistant to IBA)	3/02	Bartel
PFC	Paleface (chlorotic at 5 C)	M97	Browse
PFI	Pfifferling (embryo lethal)	10/98	Juergens, Mayer
PFL	Pointed first leaves	YB	Van Lijsebettens
PFS	Pretty few seeds (ovule defective)	M97	Gasser
PGA	Primary growth angle	9/99	Olney
PGI	Chloroplastic phosphoglucose isomerase	2/99	Chen
PGM	Phosphoglucomutase deficient	YB	Caspar, Koornneef
PGP	Plastidic phosphatidylglycerol-phosphate synthase deficient	4/01	Benning
PGR	Proton Gradient Regulation (defective in NPQ)	4/02	Shikanai
PHB	Phabulosa (Altered leaf surface)	4/98	Barton
PHD	Pothead (organ fusion)	9/96	Pruitt, Lolle
PHO	Low inorganic phosphate	YB	Poirier, Somerville
PHV	Phavoluta (Abaxial to adaxial leaf identity switch)	1/01	Bowman
PHX	Phoenix	6/96	Dangl
PHY	Phytochrome mutants (revised)	1/94	Community effort
PI	Pistillata (floral defective)	YB	Koornneef
PIC	Pinocchio (root/embryonic defect)	8/94	Benfey
PID	Pinoid (meristem defective)	YB	Smyth
PIE	Photoperiod-insensitive enhancer of elf3-7	7/01	Hicks
PIM	Plastid import machinery	10/99	Kikuchi
PIN	Pin-formed (floral defective)	YB	Goto, Kranz, Okada
PIP	Pippin (meristem defective)	7/95	McKhann, Scheres
PKL	Pickle (root defective)	M97	Ogas, Somerville
PLC	Polychome (trichome defective)	M97	Hulskampt, Herzog
PLE	Pleidade (root defective)	2/95	Hauser
PLF	Proliferous (replaces FEC)	7/95	Hensel-Burke, Bleecker
PLP	Pluripetala (Altered floral organ number)	11/01	Running, Hake
PLS	Polaris (gene trap)	9/97	Lindsey
PLT	Plethora (extra columella tiers in root)	1/00	Beis
PLU	Pluto (root defective)	2/95	Hauser
PMD	Petal loss modifier	8/98	Smyth
PMR	Powdery mildew resistant	4/98	S. Somerville
PNH	Pinhead	-/94	Barton
PNL	Pointed leaves	3/97	van der Graaff
PNT	Peanut - Radially swollen embryos	2/99	Somerville, C.
POC	Photo current mutants	12/97	Halliday
POG	Promotion of Germination (QTL from ler/cvi RIL population)	1/01	Koornneef
POK	Poky pollen tube (Deficient in pollen tube growth)	8/01	Lobstein
POL	Poltergeist (suppressor of CLV)	M97	Clark
POM	Pom-pon (root defective)	YB	Benfey
POP	Pollen-pistil incompatibility	YB	Preuss
POR	Porcino (embryo lethal)	10/98	Juergens, Mayer
PPI	Plastid protein import	4/98	Chory
PPT	Phosphate/phosphoenolpyruvate translocator (replaces CUE)	7/97	Chory
PQR	Paraquat resistant	5/98	Jasmina, van Montagu
PRA	Prairie (Seed coat defective)	5/02	Haughn
PRC	Procuste (short, deformed hypocotyl)	6/95	Hofte, Caboche
PRE	Precocious (early flowering)	2/00	Martinez-Zapater
PRF	Profilin (Gene)	7/98	Meagher
PRI	Priapus, partial female sterile	9/98	Grossniklaus
PRL	Prolifera (gametophyte, embryo)	2/95	Springer, Martienssen
PRN	Pirin (Embryo defective; abnormal suspensor)	11/00	Jacobsen
PRO	Proembryo (embryo defective)	YB	Koltunow, Goldberg
PRP	Phytochrome-related phosphatase	3/00	Chory
PRPL	Plastid ribosomal protein L11	< 6/02	Leister
PRS	Pressed flower	12/97	Matsumoto, Okada
PRT	Proteolysis	-/93	Bachmair
PRZ	Proporz (Altered response to growth regulators)	6/02	Luschnig
PSAE	psa E1 knockout	< 6/02	Leister
PSD	Paused	3/95	Poethig
PSE	Photoperiod-sensitive suppressor of elf3	11/98	Hicks
PSI	Phytochrome signalling	4/95	Mayer, Chua
PSR	Pseudomonas syringae resistance	7/95	Greenberg
PST	Photoautotrophic salt tolerance	12/96	Kobayashi
PSV	Pseudoverticillata	YB	Relichova
PT	Primordia timing (allelic to AMP1)	YB	Vizir
PTF	psbD transcription factor	< 6/02	Yoshida
PTL	Petal loss, petaless	M/95	Smyth, Conceicao
PUB	Plant U-box protein (loss of disease resistance)	2/02	Shirasu
PUP	Phosphatase underproducers	6/95	Deikman
PWK	Patchwork (leaf cell patterning)	7/97	Martiennsen, Gu
PXA	Peroxisomal ABC transporter (Gene)	11/00	Bartel
PY	Pyrimidine requiring	YB	Redei, Feenstra
PYM	Polychome (branched trichomes)	10/98	Herzog
QBL	Quibble (Altered trichome branching)	11/99	Oppenheimer
QRT	Quartet (pollen tetrad defect)	YB	Preuss
QUI	Discontinued (now PRC)	11/94	Benfey
RAC	Resistant to Albugo candida	YB	Benyon
RAD	Hypersensitive to gamma radiation	YB	Mount
RAL	Ralentando - Altered circadian period	11/98	Millar
RAM	Reduced B-amylase	M97	Gibson
RAN	Responsive to antagonist	10/97	Ecker
RAP	Rapunzel pollen (branched tubes)	8/99	McCormick
RAR	Required for Mla resistance (altered hypersensitive response)	1/02	Parker, Shirasu, Dangl, Innes
RAT	Resistant to Agrobacterium transformation	5/98	Gelvin
RBE	Rabbit ears	12/97	Matsumoto, Okada
RBY	Ruby (Phytochrome Signalling Mutant)	9/01	Halliday
RCA	Regulation of carboxylase activation	YB	Somerville
RCD	Radical-induced cell death	11/99	Kangasjarvi
RCN	Altered responses to NPA	M95	Soll, DeLong
RCT	Resistant to beet curly top virus	7/95	Davis
RCU	Recurvata (rolled leaf margins)	1/96	Micol
RD	Rotundata (leaf shape)	YB	Relichova
RDO	Reduced dormancy	6/95	Koornneef
RDS	Regulation of desaturases in seeds	3/94	Kunst
RE	Reticulata (dark veins)	YB	Redei, Koornneef
REB	Root epidermal bulger	YB	Williamson
RED	Red light elongated	7/95	Quail
REF	Red fluorescent (reduced sinapate esters)	3/98	Chapple
REL	Root expression of RBCL	11/95	Kobayashi
REM	Round embryo	3/95	Vernon, Meinke
REP	Reduced phytochrome signaling	< 6/02	Song
RES	Root expression of RBCS	11/95	Kobayashi
REV	Revolute leaf	YB	Comai
RFC	Regulator of fatty acid composition	5/98	Iba
RFI	Rastafari (branched trichomes)	6/98	Herzog
RFS	RIN4 Suppression (Disease resistance)	3/02	Dangl
RGA	Repressor of GA1-3	9/96	Silverstone, Sun
RGL	RGA-like (GA-independent activation)	< 6/02	Chang
RGM	Rapid germination	YB	Galau
RGN	Chlorate resistant (CHL4)	YB	Feenstra, Koornneef
RGR	Reduced root gravitropism (allelic to AXR4)	YB	Simmons, Caspar, Soll
RHA	Root-handedness altered	4/97	Migliaccio
RHD	Root hair defective	YB	Schiefelbein
RHG	Root and hypocotyl gravitropism	5/98	Tasaka
RHL	Root hairless	9/97	Schneider, Roberts
RIB	Resistant to indole butyric acid	12/98	Waddell
RIK	RAR1 interacting kinase (loss of disease resistance)	2/02	Shirasu
RIN	RPM1 Interactor	6/01	Dangl
RIP	Resistance Increased to Plutella	6/00	Mitchell-Olds
RIS	RIN4 Suppression (Disease resistance)	3/02	Dangl
RML	Root meristemless	M95	Sung
RNT	Runt (dwarf)	6/00	Feldmann
ROC	Root Outgrowth Constitutive	7/00	Forde
ROD	Reduced oleate desaturation	YB	Browse, Somerville
ROG	Rogaine; Supressor of glabral trichome defect.	4/99	Larkin
ROH	Roots from hypocotyl	4/98	Ezhova
ROK	Resistant to FR light killing	6/98	Chua
RON	Rotunda (broad, rounded leaves)	1/99	Micol
ROS	Repressor of Silencing	3/02	Zhu
ROT	Rotundifolia (short leaf blade)	M95	Tsukaya
ROZ	Resistant to ozone	9/95	Conklin, Last
RP	Proline resistant	YB	van Montagu
RPB	Reaction to Plasmodiophora brassicae	N96	Koehn, Sacristan
RPG	Rapid precocious germination	YB	Galau
RPL	Replumless	< 6/02	Yanofsky
RPM	Resistance to Pseudomonas syringae pv. maculicola	YB	Dangl
RPP	Recognition of Peronospora parasitica	YB	Benyon, Holub
RPS	Resistant to Pseudomonas syringae	YB	Staskawicz, Ausubel
RPT	Root phototropism	8/95	Okada
RPW	Recognition of Powdery Mildew	8/95	S. Somerville, Oliver
RRS	Resistant to Ralstonia solanacearum	6/98	Godiard, Holub, Benyon
RS	Resistant to salt	YB	Saleki
RSF	Reduced sensitivity to far-red light	6/00	Fankhauser
